Ticker,Last_ATR
HSBC,0.8887951290811856
BK,1.8299942172753991
SAN,0.17940571687382081
CLS,11.890902423052006
GE,6.276978380705499
VRSN,5.256787880879715
T,0.4930577283443647
KGC,0.6714632443966667
SNOW,8.34501728204759
PLTR,7.039384981941816
SCHW,1.8557563473025518
GILD,2.82419899664671
ORCL,12.686791199323535
GLW,1.8164614341912615
BBVA,0.3388377588106397
SPOT,22.677377952589
MFG,0.1179635638713072
RBLX,5.543642131444485
SE,5.637802544578299
NFLX,27.389294255587217
UAL,3.2389637856896965
GS,15.9010670450645
GFI,1.3252881705587165
BCS,0.34145160801554963
TWLO,4.311412054663699
C,2.0714026662043867
AVGO,11.194407736719759
NVDA,4.928543157112188
VST,8.538072871845493
JOYY,1.4553296445755741
EBAY,2.4574071754305553
