Ticker,Year,Quarter,EPS,Prev Year EPS,YoY % Change,SUE,8Q Rolling Stdev
AAPL,2025,Q2,1.65,1.53,0.07843137254901954,0.4978055415870584,0.15755423754217712
AAPL,2025,Q1,2.41,2.19,0.1004566210045663,0.6255143866072487,0.16059841812661863
AAPL,2024,Q4,0.9800000000000004,1.4699999999999998,-0.3333333333333329,-3.852146363076233,0.08653184534430328
AAPL,2024,Q3,1.4,1.27,0.10236220472440936,1.0845312726728207,0.09438382027669737
AAPL,2024,Q2,1.53,1.53,0.0,0.0,0.0966048727523635
AAPL,2024,Q1,2.19,1.89,0.15873015873015875,1.3879497782191532,0.11436304196382509
AAPL,2023,Q4,1.4699999999999998,1.29,0.13953488372093,0.5451127062997806,0.25597437393835737
AAPL,2023,Q3,1.27,1.2,0.05833333333333339,0.14378822928410315,0.405689211305856
AAPL,2023,Q2,1.53,1.54,-0.006493506493506499,-0.01263256634361847,0.5140290829968046
AAPL,2023,Q1,1.89,2.11,-0.10426540284360189,-0.21910045827726124,0.4758794375119881
AAPL,2022,Q4,1.29,1.25,0.03200000000000003,0.05079456058953124,0.6299887158900874
AAPL,2022,Q3,1.2,1.31,-0.08396946564885503,-0.11635083749525135,0.7216919745187231
AAPL,2022,Q2,1.54,1.41,0.09219858156028378,0.11444864246200495,0.8055891234436632
AAPL,2022,Q1,2.11,1.7,0.24117647058823524,0.28061094752059507,0.8594692142954773
AAPL,2021,Q4,1.25,0.74,0.6891891891891893,0.8409398519658194,0.8195463534973507
AAPL,2021,Q3,1.31,0.65,1.0153846153846153,1.4468573207610238,0.701786279002645
AAPL,2021,Q2,1.41,0.64,1.2031249999999998,2.7431185397380493,0.43859752415762926
AAPL,2021,Q1,1.7,1.26,0.3492063492063492,0.906840771017094,0.38508011590026603
AAPL,2020,Q4,0.74,3.05,-0.7573770491803278,-1.7372991985123658,0.4359508424506632
AAPL,2020,Q3,0.65,2.2,-0.7045454545454546,-1.6102023392444997,0.43755088250339047
AAPL,2020,Q2,0.64,2.47,-0.7408906882591093,-2.03880000557558,0.3633954709794824
AAPL,2020,Q1,1.26,4.22,-0.7014218009478673,-3.4655491041825015,0.20239845977116164
AAPL,2019,Q4,3.05,2.94,0.037414965986394516,0.18858923647768042,0.19839396290690528
AAPL,2019,Q3,2.2,2.36,-0.0677966101694914,-0.39366418704136824,0.17221940019239543
AAPL,2019,Q2,2.47,2.75,-0.10181818181818175,-0.7885304704986432,0.12912396619726688
AAPL,2019,Q1,4.22,3.92,0.07653061224489792,0.5498300039925172,0.13918958894418473
AAPL,2018,Q4,2.94,2.08,0.4134615384615384,2.4303704353848876,0.17012284730004965
AAPL,2018,Q3,2.36,1.68,0.40476190476190477,,
AAPL,2018,Q2,2.75,2.11,0.3033175355450238,,
AAPL,2018,Q1,3.92,3.38,0.15976331360946747,,
AAPL,2017,Q4,2.08,1.68,0.2380952380952382,,
AAPL,2017,Q3,1.68,1.43,0.17482517482517484,,
AAPL,2017,Q2,2.11,1.91,0.10471204188481674,,
AAPL,2017,Q1,3.38,3.3,0.024242424242424267,,
AAPL,2016,Q4,1.68,1.97,-0.1472081218274112,,
AAPL,2016,Q3,1.43,,,,
AAPL,2016,Q2,1.91,,,,
AAPL,2016,Q1,3.3,,,,
AAPL,2015,Q4,1.97,,,,
